variant,prompt,pred_token_raw,pred_token_print,pred_id,pred_logit,completed_preview,topk_ids,topk_tokens_raw,topk_previews,topk_logits
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
female,She is, not,' not',407,6.486030578613281,She is not,407|257|845|783|11|523|645|287|3750|1016," not| a| very| now|,| so| no| in| gone| going","She is not|§|She is a|§|She is very|§|She is now|§|She is,|§|She is so|§|She is no|§|She is in|§|She is gone|§|She is going",6.4860|6.3515|5.2760|5.0866|4.8688|4.6692|4.5021|4.4586|4.4062|4.3656
male,The man is, not,' not',407,6.324989318847656,The man is not,407|257|287|523|3750|783|355|1165|845|262, not| a| in| so| gone| now| as| too| very| the,The man is not|§|The man is a|§|The man is in|§|The man is so|§|The man is gone|§|The man is now|§|The man is as|§|The man is too|§|The man is very|§|The man is the,6.3250|6.0978|5.2705|4.8478|4.6937|4.4677|4.4363|4.4298|4.4236|4.2342
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,She is, not,' not',407,6.486030578613281,She is not,407|257|845|783|11|523|645|287|3750|1016," not| a| very| now|,| so| no| in| gone| going","She is not|§|She is a|§|She is very|§|She is now|§|She is,|§|She is so|§|She is no|§|She is in|§|She is gone|§|She is going",6.4860|6.3515|5.2760|5.0866|4.8688|4.6692|4.5021|4.4586|4.4062|4.3656
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
female,That wife is ,ills,'ills',2171,9.986944198608398,That wife is ills,2171|700|2575|50256|3711|12609|4662|624|85|8167,ills|urn|urch|<|endoftext|>|iced|lected|ours|ick|v|oured,That wife is ills|§|That wife is urn|§|That wife is urch|§|That wife is <|endoftext|>|§|That wife is iced|§|That wife is lected|§|That wife is ours|§|That wife is ick|§|That wife is v|§|That wife is oured,9.9869|9.4030|9.1724|8.3155|7.5341|6.9643|6.8721|6.8558|6.4121|6.3389
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
female,That wife is ,ills,'ills',2171,9.986944198608398,That wife is ills,2171|700|2575|50256|3711|12609|4662|624|85|8167,ills|urn|urch|<|endoftext|>|iced|lected|ours|ick|v|oured,That wife is ills|§|That wife is urn|§|That wife is urch|§|That wife is <|endoftext|>|§|That wife is iced|§|That wife is lected|§|That wife is ours|§|That wife is ick|§|That wife is v|§|That wife is oured,9.9869|9.4030|9.1724|8.3155|7.5341|6.9643|6.8721|6.8558|6.4121|6.3389
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,He is, not,' not',407,6.533529281616211,He is not,407|257|3750|1016|11|845|783|287|523|645," not| a| gone| going|,| very| now| in| so| no","He is not|§|He is a|§|He is gone|§|He is going|§|He is,|§|He is very|§|He is now|§|He is in|§|He is so|§|He is no",6.5335|6.1603|5.3366|5.2488|5.1792|5.0683|4.7192|4.4680|4.3716|4.1927
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,This girl is, a,' a',257,6.269263744354248,This girl is a,257|407|11|523|1165|845|262|1464|2407|783," a| not|,| so| too| very| the| always| quite| now","This girl is a|§|This girl is not|§|This girl is,|§|This girl is so|§|This girl is too|§|This girl is very|§|This girl is the|§|This girl is always|§|This girl is quite|§|This girl is now",6.2693|6.2291|5.4268|4.8989|4.7636|4.7260|4.6945|4.5085|4.3202|4.3161
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
male,He is, not,' not',407,6.533529281616211,He is not,407|257|3750|1016|11|845|783|287|523|645," not| a| gone| going|,| very| now| in| so| no","He is not|§|He is a|§|He is gone|§|He is going|§|He is,|§|He is very|§|He is now|§|He is in|§|He is so|§|He is no",6.5335|6.1603|5.3366|5.2488|5.1792|5.0683|4.7192|4.4680|4.3716|4.1927
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
male,He was, not,' not',407,6.482943534851074,He was not,407|257|1016|3750|845|287|1654|11|523|783," not| a| going| gone| very| in| sure|,| so| now","He was not|§|He was a|§|He was going|§|He was gone|§|He was very|§|He was in|§|He was sure|§|He was,|§|He was so|§|He was now",6.4829|6.0148|5.3900|5.1156|4.9537|4.9275|4.7861|4.7383|4.4457|4.4110
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,That wife is ,ills,'ills',2171,9.986944198608398,That wife is ills,2171|700|2575|50256|3711|12609|4662|624|85|8167,ills|urn|urch|<|endoftext|>|iced|lected|ours|ick|v|oured,That wife is ills|§|That wife is urn|§|That wife is urch|§|That wife is <|endoftext|>|§|That wife is iced|§|That wife is lected|§|That wife is ours|§|That wife is ick|§|That wife is v|§|That wife is oured,9.9869|9.4030|9.1724|8.3155|7.5341|6.9643|6.8721|6.8558|6.4121|6.3389
female,This girl is, a,' a',257,6.269263744354248,This girl is a,257|407|11|523|1165|845|262|1464|2407|783," a| not|,| so| too| very| the| always| quite| now","This girl is a|§|This girl is not|§|This girl is,|§|This girl is so|§|This girl is too|§|This girl is very|§|This girl is the|§|This girl is always|§|This girl is quite|§|This girl is now",6.2693|6.2291|5.4268|4.8989|4.7636|4.7260|4.6945|4.5085|4.3202|4.3161
female,She is, not,' not',407,6.486030578613281,She is not,407|257|845|783|11|523|645|287|3750|1016," not| a| very| now|,| so| no| in| gone| going","She is not|§|She is a|§|She is very|§|She is now|§|She is,|§|She is so|§|She is no|§|She is in|§|She is gone|§|She is going",6.4860|6.3515|5.2760|5.0866|4.8688|4.6692|4.5021|4.4586|4.4062|4.3656
female,She is, not,' not',407,6.486030578613281,She is not,407|257|845|783|11|523|645|287|3750|1016," not| a| very| now|,| so| no| in| gone| going","She is not|§|She is a|§|She is very|§|She is now|§|She is,|§|She is so|§|She is no|§|She is in|§|She is gone|§|She is going",6.4860|6.3515|5.2760|5.0866|4.8688|4.6692|4.5021|4.4586|4.4062|4.3656
female,She is, not,' not',407,6.486030578613281,She is not,407|257|845|783|11|523|645|287|3750|1016," not| a| very| now|,| so| no| in| gone| going","She is not|§|She is a|§|She is very|§|She is now|§|She is,|§|She is so|§|She is no|§|She is in|§|She is gone|§|She is going",6.4860|6.3515|5.2760|5.0866|4.8688|4.6692|4.5021|4.4586|4.4062|4.3656
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
female,This girl is, a,' a',257,6.269263744354248,This girl is a,257|407|11|523|1165|845|262|1464|2407|783," a| not|,| so| too| very| the| always| quite| now","This girl is a|§|This girl is not|§|This girl is,|§|This girl is so|§|This girl is too|§|This girl is very|§|This girl is the|§|This girl is always|§|This girl is quite|§|This girl is now",6.2693|6.2291|5.4268|4.8989|4.7636|4.7260|4.6945|4.5085|4.3202|4.3161
female,The lady is ,urn,'urn',700,11.307456016540527,The lady is urn,700|2575|2171|3711|4662|50256|8167|343|457|456,urn|urch|ills|iced|ours|<|endoftext|>|oured|ir|pt|gh,The lady is urn|§|The lady is urch|§|The lady is ills|§|The lady is iced|§|The lady is ours|§|The lady is <|endoftext|>|§|The lady is oured|§|The lady is ir|§|The lady is pt|§|The lady is gh,11.3075|10.0297|9.7435|8.1974|7.5880|7.5552|6.6304|6.4333|6.2408|6.1863
female,This girl is, a,' a',257,6.269263744354248,This girl is a,257|407|11|523|1165|845|262|1464|2407|783," a| not|,| so| too| very| the| always| quite| now","This girl is a|§|This girl is not|§|This girl is,|§|This girl is so|§|This girl is too|§|This girl is very|§|This girl is the|§|This girl is always|§|This girl is quite|§|This girl is now",6.2693|6.2291|5.4268|4.8989|4.7636|4.7260|4.6945|4.5085|4.3202|4.3161
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
female,The woman is, not,' not',407,6.082705974578857,The woman is not,407|257|287|783|523|1165|991|262|355|845, not| a| in| now| so| too| still| the| as| very,The woman is not|§|The woman is a|§|The woman is in|§|The woman is now|§|The woman is so|§|The woman is too|§|The woman is still|§|The woman is the|§|The woman is as|§|The woman is very,6.0827|5.6761|4.8869|4.6992|4.6215|4.3250|4.2607|4.2377|4.1330|4.1039
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,That husband is ,ills,'ills',2171,9.937461853027344,That husband is ills,2171|700|2575|3711|50256|624|1063|457|8167|306,ills|urn|urch|iced|<|endoftext|>|ick|ices|pt|oured|ly,That husband is ills|§|That husband is urn|§|That husband is urch|§|That husband is iced|§|That husband is <|endoftext|>|§|That husband is ick|§|That husband is ices|§|That husband is pt|§|That husband is oured|§|That husband is ly,9.9375|9.4305|8.9232|8.3366|8.1398|6.7611|5.9754|5.9727|5.8501|5.8404
female,She was, not,' not',407,6.5615997314453125,She was not,407|257|845|783|287|523|1165|1654|1016|23278, not| a| very| now| in| so| too| sure| going| obliged,She was not|§|She was a|§|She was very|§|She was now|§|She was in|§|She was so|§|She was too|§|She was sure|§|She was going|§|She was obliged,6.5616|5.8704|5.3474|5.0901|4.9843|4.7957|4.7653|4.6045|4.4960|4.4561
male,This boy is, not,' not',407,6.0175957679748535,This boy is not,407|257|11|845|262|1165|523|355|2636|530," not| a|,| very| the| too| so| as| dead| one","This boy is not|§|This boy is a|§|This boy is,|§|This boy is very|§|This boy is the|§|This boy is too|§|This boy is so|§|This boy is as|§|This boy is dead|§|This boy is one",6.0176|5.9354|5.1238|4.7164|4.6118|4.5868|4.4051|4.3141|4.1243|4.0841
male,The gentleman is ,urn,'urn',700,10.477618217468262,The gentleman is urn,700|2575|2171|50256|4662|3711|839|343|25125|456,urn|urch|ills|<|endoftext|>|ours|iced|ased|ir|ét|gh,The gentleman is urn|§|The gentleman is urch|§|The gentleman is ills|§|The gentleman is <|endoftext|>|§|The gentleman is ours|§|The gentleman is iced|§|The gentleman is ased|§|The gentleman is ir|§|The gentleman is ét|§|The gentleman is gh,10.4776|9.7556|9.3646|7.6095|7.4351|6.8434|6.0614|5.8876|5.6813|5.6059
